id,state_name,state_abbr,region,program_family,state_program_name,administering_agency,application_portal,source_url,federal_anchor_url,benefit_type,target_population,eligibility_lenses,income_rule_summary,work_rule_summary,immigration_note,recertification_burden,digital_access_notes,appeal_contact_notes,advocacy_barrier_tags,waiver_or_expansion_tags,verification_status,last_reviewed,notes
vt-tanf,Vermont,VT,Northeast,TANF/Cash Assistance,Reach Up (TANF) / Reach First / Reach Ahead,"Vermont Department for Children and Families (DCF), Economic Services Division",https://dcf.vermont.gov/benefits/ReachUp,https://dcf.vermont.gov/benefits/ReachUp,https://www.acf.hhs.gov/ofa/programs/tanf,Cash assistance + employment services,Families with children below income threshold,income; household composition; work requirement; time limits,Grant amounts set by Vermont; verify current schedule.,Family Development Plan participation; sanctions with due-process protections.,Federal qualified-immigrant rules apply for federal TANF; state-only options narrower than NY/CA.,Periodic reviews.,MyBenefits VT; DCF district offices.,Human Services Board fair hearings.,small grant amounts vs cost of living; rural transportation; sanctions,Reach First (short-term assistance); Reach Ahead (post-Reach Up supports),verified official source,2025-01,"Reach First/Up/Ahead form a continuum: short-term diversion, ongoing assistance, and transition supports."
vt-medicaid,Vermont,VT,Northeast,Medicaid,Green Mountain Care / Medicaid / Dr. Dynasaur,"Vermont Department of Vermont Health Access (DVHA), Agency of Human Services",https://portal.healthconnect.vermont.gov,https://dvha.vermont.gov,https://www.medicaid.gov/about-us/where-can-people-get-help-medicaid-chip/index.html,Comprehensive health coverage,Low-income individuals/families; ACA expansion adults; children under 19 (Dr. Dynasaur),income (MAGI/non-MAGI); categorical; immigration,Dr. Dynasaur covers children to higher FPL than adult Medicaid (with premiums above certain thresholds); verify current bands.,No work requirement.,Federal Medicaid rules apply; Dr. Dynasaur for pregnant individuals and children may extend further (verify).,Annual.,Vermont Health Connect / portal; in-person assistance via Navigators.,Human Services Board fair hearings.,unwinding churn; rural provider access,Global Commitment 1115 waiver,verified official source,2025-01,Vermont's Global Commitment 1115 waiver underpins integrated Medicaid delivery. 'Green Mountain Care' is the umbrella brand.
vt-chip,Vermont,VT,Northeast,CHIP,Dr. Dynasaur (CHIP component),Vermont Department of Vermont Health Access,https://portal.healthconnect.vermont.gov,https://info.healthconnect.vermont.gov/dr-dynasaur,https://www.medicaid.gov/chip/index.html,Children's and pregnant individuals' health coverage,Children under 19; pregnant individuals,age/category; income,Coverage to higher FPL than adult Medicaid with sliding-scale premiums above certain thresholds.,Not applicable.,Verify current immigration policy for Dr. Dynasaur components.,Annual.,Vermont Health Connect.,Human Services Board.,premium affordability above thresholds; renewal churn,unified branding across Medicaid/CHIP for kids,verified official source,2025-01,Dr. Dynasaur encompasses Vermont's Medicaid for children and CHIP-funded coverage with one brand.
vt-wic,Vermont,VT,Northeast,WIC,Vermont WIC,"Vermont Department of Health, WIC Program",https://www.healthvermont.gov/family/wic,https://www.healthvermont.gov/family/wic,https://www.fns.usda.gov/wic/program-contacts,Nutrition assistance,"Pregnant, postpartum, breastfeeding people; infants/children under 5",income (185% FPL); categorical; nutrition risk,185% FPL or adjunctive eligibility.,Not applicable.,No immigration restriction; not a public charge factor.,Periodic certification.,eWIC; local health offices around the state.,Department of Health WIC fair hearing process.,rural appointment access; store stocking,remote certification flexibilities,verified official source,2025-01,Small population means deep coverage potential; outreach via Department of Health offices.
vt-liheap,Vermont,VT,Northeast,LIHEAP,Seasonal Fuel Assistance + Crisis Fuel,"Vermont DCF, Economic Services Division (Office of Economic Opportunity for weatherization)",https://dcf.vermont.gov/benefits/fuel,https://dcf.vermont.gov/benefits/fuel,https://liheapch.acf.hhs.gov/search-tool/,"Heating bill assistance, crisis fuel, weatherization",Low-income households with heating burden,income (SMI); vulnerability; household composition,Verify current SMI tiers and benefit calculation.,Not applicable.,No federal immigration restriction on LIHEAP.,Annual application; seasonal opening.,MyBenefits VT; Community Action Agencies for crisis fuel.,Human Services Board fair hearings.,rural delivery logistics; crisis fuel pipeline timing,crisis fuel program; weatherization linkage,verified official source,2025-01,Vermont's cold-climate dependency on heating oil/propane makes LIHEAP particularly consequential.
vt-housing,Vermont,VT,Northeast,Housing Choice Voucher / Public Housing,Section 8 HCV / Public Housing (VSHA + local PHAs),"Vermont State Housing Authority (VSHA); local PHAs (e.g., Burlington Housing Authority)",https://www.vsha.org,https://www.vsha.org,https://www.hud.gov/topics/rental_assistance,Rental subsidy,Very low-income households,income (AMI); household composition; immigration,HUD income limits; 75% of new vouchers to ELI households.,No federal work requirement.,Mixed-status prorated rules.,Annual.,VSHA portal; local PHA waitlists.,Informal hearing prior to termination.,closed waitlists; source-of-income discrimination; rural landlord acceptance; VAWA enforcement,VT source-of-income protection (9 V.S.A. 4503); Mobility / HOP voucher initiatives,verified official source,2025-01,Vermont prohibits source-of-income discrimination under the Fair Housing Act (9 V.S.A. § 4503).
vt-ui,Vermont,VT,Northeast,Unemployment Insurance,Vermont Unemployment Insurance,Vermont Department of Labor,https://labor.vermont.gov/unemployment-insurance,https://labor.vermont.gov/unemployment-insurance,https://oui.doleta.gov/unemploy/agencies.asp,Wage replacement,Eligible separated workers,wage history; separation; able and available; work search,Weekly benefit amount based on base-period earnings; verify current min/max.,Weekly certification with work-search requirements.,Work authorization required during base period and claim weeks.,Weekly certification.,Vermont DOL portal.,Appeal to the Employment Security Board.,identity verification; small employer disputes; language access (limited LEP infrastructure),historical PUA (expired),verified official source,2025-01,"Vermont's smaller program means caseworker access is somewhat better than larger states, but rural broadband can impede online filing."
vt-ssi,Vermont,VT,Northeast,SSI/SSDI/State Supplements,"SSI + Vermont State Supplement (Aid to the Aged, Blind, and Disabled)",SSA (federal); Vermont DCF/ESD for state supplement,https://www.ssa.gov/apply,https://dcf.vermont.gov/benefits/aabd,https://www.ssa.gov/ssi/,Cash assistance for aged/blind/disabled plus state supplement,"Aged 65+, blind, or disabled with limited income/resources",categorical; income; resources,Federal SSI plus Vermont AABD supplement; verify current schedule.,SSDI work-incentive rules; SSI countable income reductions.,Federal qualified-immigrant rules apply.,SSA redeterminations; CDRs.,my Social Security; SSA field offices (limited in VT).,SSA appeals process.,disability backlog; rural transportation to field offices; rep payee complaints,"Aid to the Aged, Blind, and Disabled (AABD) state supplement",verified official source,2025-01,Vermont's state supplement runs through DCF/ESD.
vt-ccdf,Vermont,VT,Northeast,Child Care Subsidies (CCDF),Vermont Child Care Financial Assistance Program (CCFAP),"Vermont Department for Children and Families, Child Development Division",https://dcf.vermont.gov/cdd/financial-assistance,https://dcf.vermont.gov/cdd/financial-assistance,https://www.acf.hhs.gov/occ,Subsidized child care,Working families with children,income (SMI); need-for-care; family size,Income thresholds raised substantially under Act 76 (2023) — eligibility through significantly higher SMI bands and reduced family share; verify current values.,"Need-for-care reasons including work, education.",Eligibility tied to child where applicable.,12-month continuous eligibility per federal rule.,Apply via Bright Futures Information System (BFIS) / DCF.,Human Services Board.,provider shortage; rural availability,Act 76 child care expansion (2023),verified official source,2025-01,Vermont's Act 76 (2023) is one of the most significant state child care expansions in the country.
vt-meals,Vermont,VT,Northeast,School Meals,Universal School Meals (Vermont),Vermont Agency of Education,Districts; LEAs participate in Universal Meals,https://education.vermont.gov/student-support/nutrition,https://www.fns.usda.gov/school-meals,Free school breakfast and lunch,All public K-12 students,universal access,Vermont enacted permanent Universal School Meals (Act 64 of 2023) providing free meals to all public school students.,Not applicable.,No immigration restriction.,Universal access removes individual eligibility burdens.,School-based participation.,District grievance; AOE escalation.,summer gaps; after-school meal access,Permanent Universal School Meals (Act 64 / 2023); Summer EBT participation,verified official source,2025-01,Vermont is among the first states with statutorily permanent universal school meals.
vt-headstart,Vermont,VT,Northeast,Head Start / Early Head Start,Vermont Head Start (federally funded; statewide grantees),"Federal Office of Head Start; local grantees (e.g., Champlain Valley Head Start)",Use Head Start Center Locator,https://headstart.gov,https://eclkc.ohs.acf.hhs.gov/center-locator,Comprehensive early childhood education,Children prenatal to 5; income-eligible or categorically eligible families,"income (100% FPL); categorical (homeless, foster, TANF, SSI); age",At or below 100% FPL; categorical eligibility extends access.,Not applicable.,No immigration restriction.,Annual.,Local grantees; HS Locator.,Grantee grievance.,rural slot availability; transportation,McKinney-Vento categorical eligibility,national directory anchored,2026-05,May 2026 audit changed this from a broad Vermont early education page to the federal HeadStart.gov locator for official routing. Vermont blends Head Start with universal pre-K (Act 166) — outreach can leverage both pathways.
vt-eitc,Vermont,VT,Northeast,EITC/CTC/State Tax Credits,Vermont EITC + Vermont Child Tax Credit (VT CTC),Vermont Department of Taxes,https://tax.vermont.gov,https://tax.vermont.gov/individuals/personal-income-tax/refundable-credits,https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit-eitc,Refundable state tax credits,Low-income working households; families with young children,earned income (EITC); child age under 6 (VT CTC),"Vermont EITC equals 38% of federal EITC (verify current percentage); Vermont CTC provides up to $1,000 per child under 6 with income phase-out — verify current parameters.",EITC requires earned income; VT CTC does not require earned income.,ITIN filers' eligibility for VT EITC/CTC may differ from federal — verify with VT Department of Taxes.,Annual filing.,VITA sites; myVTax.,Tax Department appeal.,unclaimed credits; filer outreach in rural areas,Vermont CTC for children under 6 (enacted 2022),verified official source,2025-01,Vermont was an early adopter of a state CTC for children under 6 in 2022.
vt-aca,Vermont,VT,Northeast,ACA Marketplace Subsidies,Vermont Health Connect,Department of Vermont Health Access (DVHA),https://portal.healthconnect.vermont.gov,https://info.healthconnect.vermont.gov,https://www.healthcare.gov,Marketplace QHPs with subsidies,Individuals/families not eligible for Medicaid or affordable employer coverage,income (MAGI); household composition; immigration,Federal APTC + Vermont Premium Assistance for additional affordability up to specified FPL thresholds.,Not applicable.,Lawfully present individuals eligible per federal rule.,Annual.,Vermont Health Connect; Navigators.,Human Services Board.,small risk pool premiums; renewal complexity,Vermont Premium Assistance; Vermont Cost-Sharing Reductions,verified official source,2025-01,Vermont supplements federal subsidies with state premium and cost-sharing assistance for eligible enrollees.
vt-era,Vermont,VT,Northeast,Emergency Rental Assistance / Homelessness Services,VERAP (closed for new applications); General Assistance Emergency Housing; current homelessness programs,"Vermont DCF, Economic Services Division; Vermont State Housing Authority for some programs",https://dcf.vermont.gov/benefits/housing,https://dcf.vermont.gov/benefits/housing,https://www.hud.gov/topics/rental_assistance,"Emergency motel/shelter, rental subsidies, rehousing",Households experiencing or at risk of homelessness,categorical vulnerability; income,General Assistance emergency housing eligibility tied to specific vulnerability and resource criteria; rules have changed materially since 2023 — verify current policy.,Not applicable.,Verify per program; most homelessness emergency aid is need-based without immigration restriction.,Frequent reviews under GA Emergency Housing; length-of-stay limits.,DCF district offices; statewide 2-1-1 referral.,Human Services Board fair hearings.,motel program eligibility rollbacks; winter shelter capacity; rural shelter deserts,GA Emergency Housing motel program (modified); Coordinated Entry through Continuum of Care,state source pending,2025-01,Vermont's GA Emergency Housing motel program has been the subject of repeated policy changes — confirm current eligibility rules before counseling.
